,Year,Album Names,Album Type,Record Label(s),Song Name,Medley,Artist(s),Composer(s),Lyricist(s),Adapted from,Originally Sang by,Movie,Movie Role,Lyrics,Source
10,1974,鬼馬雙星,Full,寶麗多,雙星情歌(音樂),,Instrumental,許冠傑,許冠傑,,,,,Instrumental,
11,1975,天才與白痴,Full,寶麗多,天才與白痴,,許冠傑,許冠傑,許冠傑;薛志雄,,,,,"呢個世界上 有精仔 有懵仔 有叻仔 散仔 賭仔 重有戇居仔
有衰仔 有好仔 反骨仔 癲仔 蠢仔重弊過敗家仔
細蚊仔 臭飛仔 招卿仔 靚仔 打仔亂咁出刀仔 問你點敢亂生仔
邊個係天才（天才） 邊個係白痴（白痴）
扮懵定蠢才 冇咁易會知（阿茂至知）
天才與白痴 你黐定我黐 天才與白痴 冇咁易會知 天才與白痴

呢個世界上 有冤鬼 有嘩鬼 有奸鬼 賭鬼 盞鬼 重有咸濕鬼
有衰鬼 有煙鬼 攝青鬼 生鬼 撞鬼撞著個冒失鬼
醉酒鬼 吊靴鬼 醜死鬼 假鬼 真鬼 亂咁鬼打鬼 問你究竟攪乜鬼
乜鬼係天才（天才） 乜鬼係白痴（白痴） 扮懵定蠢才 冇咁易會知(阿茂至知）
天才與白痴 你黐定我黐 天才與白痴 冇咁易會知 天才與白痴

呢個世界上 有堅野 有流野 有精野 喎野 喳野 重有大鑊野
有衰野 有好野 有筍野 貴野 賤野 最划忌就賴野
醒胃野 林嬸野 正斗野 靚野 杰野 最爽就撈粗野 確係認真唔少野
乜野係天才（天才） 乜野係白痴（白痴） 扮懵定蠢才 冇咁易會知(阿茂至知）
天才與白痴 你黐定我黐 天才與白痴 冇咁易會知
天才與白痴 天才與白痴 天才與白痴",KKBOX.com
12,1975,天才與白痴,Full,寶麗多,天才白痴往日情,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
","痛別離 惜分飛 緣份一朝忍心拋棄
往日情未泯 泣咽悽聲怨蒼天太狠

鳥倦還 影孤單 無奈美夢頃刻吹散
往日情未泯 泣咽悽聲怨蒼天太狠

暴雨中 相親相與共 夢已空 太匆匆
淚暗湧 偷偷心底送 遍地紅葉怨秋風

再會難 呼不返 寒夜對月幾番嗟歎
往日情未泯 泣咽悽聲怨蒼天太狠

暴雨中 相親相與共 夢已空 太匆匆
淚暗湧 偷偷心底送 遍地紅葉怨秋風

再會難 呼不返 寒夜對月幾番嗟歎
往日情未泯 泣咽悽聲怨蒼天太狠",KKBOX.com
13,1975,天才與白痴,Full,寶麗多,天才白痴錢錢錢,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
","(錢錢錢錢 錢錢錢錢)
(錢錢錢錢 錢錢錢錢)
(錢錢錢錢 錢錢錢錢)
(錢錢錢錢 錢錢錢錢)

成日要錢多 (錢錢錢錢 錢錢錢錢)
幹水乜都渦 (錢錢錢錢 錢錢錢錢)
借錢最折墮 (錢錢錢錢 錢錢錢錢)
爬低翳契哥 (錢錢錢錢 錢錢錢錢)

貧賤拗頸多 (NO MONEY NO TALK NO MONEY NO TALK)
生仔都諗過 (NO MONEY NO TALK NO MONEY NO TALK)
阿女嗌肚餓 (NO MONEY NO TALK NO MONEY NO TALK)
屋租都要拖 (NO MONEY NO TALK NO MONEY NO TALK)

有乜會令你心花怒放 (錢)
諗得多卒之梗癲癲喪喪 (錢)
有咗佢就算打跛雙腳都冇相干
冇得擋 冇得擋

成日要錢多 (錢錢錢錢 錢錢錢錢)
幹水乜都渦 (錢錢錢錢 錢錢錢錢)
借錢最折墮 (錢錢錢錢 錢錢錢錢)
爬低危契哥 (錢錢錢錢 錢錢錢錢)

貧賤拗頸多 (NO MONEY NO TALK NO MONEY NO TALK)
生仔都諗過 (NO MONEY NO TALK NO MONEY NO TALK)
阿女嗌肚餓 (NO MONEY NO TALK NO MONEY NO TALK)
屋租都要拖 (NO MONEY NO TALK NO MONEY NO TALK)

有錢確係會少咁Ｄ罪案 (錢)
駛乜衰到通街偷搶騙當 (錢)
冇咗佢就算包公都由你嗌冤枉
懶得講 懶得講

成日要錢多 (錢錢錢錢 錢錢錢錢)
幹水乜都渦 (錢錢錢錢 錢錢錢錢)
借錢最折墮 (錢錢錢錢 錢錢錢錢)
爬低危契哥 (錢錢錢錢 錢錢錢錢)

貧賤拗頸多 (NO MONEY NO TALK NO MONEY NO TALK)
生仔都諗過 (NO MONEY NO TALK NO MONEY NO TALK)
阿女嗌肚餓 (NO MONEY NO TALK NO MONEY NO TALK)
屋租都要拖 (NO MONEY NO TALK NO MONEY NO TALK)",KKBOX.com
14,1975,天才與白痴,Full,寶麗多,天才白痴夢,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
","人皆尋夢 夢裡不分西東
片刻春風得意 未知景物矇矓

人生如夢 夢裡輾轉吉凶
尋樂不堪苦困 未識苦與樂同

天造之才 皆有其用
振翅高飛 無須在夢中

南柯長夢 夢裡不知所中
醉翁他朝醒覺 是否跨鳳成龍

天造之才 皆有其用
振翅高飛 無須在夢中

何必尋夢 夢裡甘苦皆空
勸君珍惜此際 自當欣慰無窮
何必尋夢",KKBOX.com
15,1975,天才與白痴,Full,寶麗多,情人離別去,,許冠傑,Paul Vance;Edward Snyder,許冠英,What Will My Mary Say,,,,"情人離別去 濃情如夢碎
從前曾共你 相依相對
愛已化煙 再不相聚
空寄柔情似水

良緣難共訂 瑤琴誰伴聽
離愁腸斷 百感交併
怕對故苑 倍感幽靜
孤雁獨鳴怨聲

以往與你 恩愛伴隨
鴛鴦侶 長廝對
愛已遠去 悲痛灑淚
念情緣 不勝唏噓

寒蟬長夜叫 床前殘月照
何時能望 再舉杯歡笑
我倆愛火 已不驕耀
空嘆舊情飄渺
我倆愛火 已不驕耀
空嘆舊情飄渺",mojim.com
16,1975,天才與白痴,Full,寶麗多,青春夢裡人,,許冠傑,Tobias,許冠傑,Stay Awhile,,,,"共妳今朝見面 真覺令我飄然
但覺心慌意亂 今晚 望再相見
與妳夢中痴纏 燕侶手相牽
暢快共遊 夢裡仙園
陶醉愛海溫馨美屬眷

夢裡花香吐艷 傾訴 萬語千言
共向星星訴願 相愛 萬劫不變
與妳夢中痴纏 燕侶手相牽
暢快共遊 夢裡仙園
陶醉愛海溫馨美屬眷

與妳夢中痴纏 燕侶手相牽
暢快共遊 夢裡仙園
陶醉愛海溫馨美屬眷
陶醉愛海溫馨美屬眷
(我哋今晚見)",KKBOX.com
17,1975,天才與白痴,Full,寶麗多,獨上西樓,,許冠傑,Gibbs,許冠傑,Holiday,,,,"無言獨上西樓 殘月正當頭
何時復與卿遊 腸斷百般愁

才與妳剛分手 轉眼又到深秋
痛念舊情淚滿眼 空悲嘆 緣太暫

無言獨上西樓(心苦透) 殘月正當頭
何時復與卿遊(空追疚) 腸斷百般愁

勞燕已分西東 恩愛尚記心中
往日熱情夢已碎 鴛鴦侶 難再聚

(Dee dee dee dee dee dee)
(Dee dee dee) (Dee dee)(dee dee)

(Dee dee dee dee dee dee)
(Dee dee dee) (Dee dee)(dee dee)

才與妳剛分手 轉眼又到深秋
痛念舊情淚滿眼 空悲嘆 緣太暫

無言獨上西樓(心苦透) 殘月正當頭
何時復與卿遊(空追疚) 腸斷百般愁

勞燕已分西東 恩愛尚記心中
往日熱情夢已碎 鴛鴦侶 難再聚

(Dee dee dee dee dee dee)
(Dee dee dee) (Dee dee)(dee dee)

(Dee dee dee dee dee dee)
(Dee dee dee) (Dee dee)(dee dee)",mojim.com
18,1975,天才與白痴,Full,寶麗多,齊齊唱首歌,,許冠傑,許冠傑,許冠傑,,,,,"朝九 晚五 就要打工 又要聽老闆發嗡風
放工 去迫車 都迫餐死
咁嘅生活你話幾谷氣 咁嘅生活你話幾谷氣

齊齊唱首歌 齊齊唱首歌 一曲去心火
人人情盡放 人人情盡放 拋開煩惱玩番趟
一齊拍下手掌(拍下手掌) 要拍得更響(拍得更響)
一齊拍下手掌(拍下手掌) 開開心心高聲唱

啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦
啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦啦啦

三嬸 舅母 又嘆幾圈 仲要拖細佬去公園
阿媽 佢餐餐 都嗰幾味
咁嘅生活你話幾谷氣 咁嘅生活你話幾谷氣

齊齊唱首歌 齊齊唱首歌 一曲去心火
人人情盡放 人人情盡放 拋開煩惱玩番趟

一齊拍下手掌(拍下手掌) 要拍得更響(拍得更響)
一齊拍下手掌(拍下手掌) 開開心心高聲唱

啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦
啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦啦啦

齊齊唱首歌 齊齊唱首歌 一曲去心火
人人情盡放 人人情盡放 拋開煩惱玩番趟

啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦
啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦啦啦",mojim.com
19,1975,天才與白痴,Full,寶麗多,莫等待,,許冠傑,許冠傑,許冠傑,,,,,"莫等待，光陰不會復來，
勿讓青春偷偷消逝去，莫等待。

莫等待，春風吹過暴雨來，
浪蝶應悔當初不自愛，莫等待。

別戀金縷衣，惜取少年時，
發奮上進不容遲，同聚今朝共立志。

莫等待，光陰不會復來，
勿讓青春偷偷消逝去，莫等待。

別戀金縷衣，惜取少年時，
發奮上進不容遲，同聚今朝共立志。

莫等待，春風吹過暴雨來，
浪蝶應悔當初不自愛，莫等待。
浪蝶應悔當初不自愛，莫等待。",KKBOX.com
20,1975,天才與白痴,Full,寶麗多,歡樂桃源,,許冠傑,許冠英,許冠英,,,,,"迷惘 在愛海裡 輕快蕩樣
情侶 願化彩蝶 共舞飛翔
原野 景色一片 忘盡苦惱
同聚 歡樂桃源 春花吐香

陶醉 在柳陰裡 相對定情
立志 共對苦難 熱愛真誠
湖裡 鴛鴦嬉戲 甜蜜相對
同聚 歡樂桃源 心堅情永

春風滿面 互相纏綿
誓與卿今生 濃情共眷戀

遙看 玉燕飛舞 歌唱共鳴
共您 互醉好夢 在百花亭
猶似 天仙一對 情義深厚
同聚 歡樂桃源 把姻緣訂

春風滿面 互相纏綿
誓與卿今生 濃情共眷戀

遙看 玉燕飛舞 歌唱共鳴
共您 互醉好夢 在百花亭
猶似 天仙一對 情義深厚
同聚 歡樂桃源 把姻緣訂",mojim.com
21,1975,天才與白痴,Full,寶麗多,故苑懷舊,,許冠傑,許冠英,許冠英,,,,,"La la la la
La la la la
La la la la la la la

La la la la
La la la la
La la la la la la la

銀河與妹手兩牽 共訂愛心兩互勉
歌唱共鳴誓心願 患難同心不變遷

浮沉愛海心更堅 共伴舞影似玉燕
低訴熱情話歡聚 如今鴛鴦不復見

La la la la
La la la la
La la la la la la la

La la la la
La la la la
La la la la la la la

何時愛卿歸故苑 夜靜對影暗自怨
心碎月明下等待 斷腸人孤單掛戀

徘徊柳底心更酸 熱淚暗湧愛盡斷
祗盼若能夢中會 難捨分飛心未變

La la la la
La la la la
La la la la la la la

La la la la
La la la la
La la la la la la la",mojim.com
22,1975,天才與白痴,Full,寶麗多,天才白痴往日情(音樂),,Instrumental,許冠傑,Instrumental,,,,,Instrumental,
23,1976,半斤八兩,Full,寶麗多,半斤八兩,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"我哋呢班打工仔
通街走糴直頭係壞腸胃
搵嗰些少到月底點夠洗　(奀過鬼)
確係認真濕滯

最弊波士毓啲發威　(癲過雞)
一味喺處係唔係亂嚟吠　(汪汪汪)
翳親加薪塊面挪起惡睇　(鈕下偈)
你就認真開胃

半斤八兩　做到隻積咁嘅樣
半斤八兩　濕水炮仗點會響
半斤八兩　夠薑呀揸鎗走去搶
出咗半斤力　想話攞番足八兩
家陣惡搵食　邊有半斤八兩咁理想　(吹漲)

* 我哋呢班打工仔　一生一世為錢幣做奴隸
嗰種辛苦折墮講出嚇鬼　(死俾你睇)
咪話冇乜所謂

半斤八兩　就算有福都冇你享
半斤八兩　仲慘過滾水淥豬腸
半斤八兩　雞碎咁多都要啄
出咗半斤力　想話攞番足八兩
家陣惡搵食　邊有半斤八兩咁理想　(吹漲)
(重唱 *)",mojim.com
24,1976,半斤八兩,Full,寶麗多,浪子心聲,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"難分真與假 人面多險詐
幾許有共享榮華 簷畔水滴不分差

無知井裡蛙 徙望添聲價
空得意目光如麻 誰料金屋變敗瓦

命裡有時終須有 命裡無時莫強求

雷聲風雨打 何用多驚怕
心公正白壁無瑕 行善積德最樂也

命裡有時終須有 命裡無時莫強求

人比海裡沙 毋用多牽掛
君可見漫天落霞 名利息間似霧化
君可見漫天落霞 名利息間似霧化",KKBOX.com
25,1976,半斤八兩,Full,寶麗多,打雀英雄傳,,許冠傑,劉傑,許冠傑;黎彼得,,,,,"六嬸，三太公，大眾開枱啦面似蓮蓉，
又放工，打餐懵，圍埋砌幾圈論呀論英雄，
誰是大英雄。
(大英雄)

落手三隻東，度到啱三叫二五六筒，(食呀)
截正糊，真陰功，騰騰震嬲到面呀面都紅。

上下家，搏曬懵，依牙鬆槓斬眉斬眼打籠通，
係咁鬆，正衰公，難為氹仔會浸呀浸蛟龍。

亂咁爭，真勢兇，學到足關帝座鎮華容，
恨滿胸，裹蒸粽，嗡嗡貢好似大呀大燈籠。

大相公，小相公，遇老千章法亂曬大龍，
食詐餬，包出沖，氹氹轉好似大呀大灰熊。

執左位，起過風，移燈換櫈洗手食煙熨櫃桶，
轉下運，確唔同，連隨喫幾舖我露呀露歡容。

混一色，碰七筒，一簡白板發財做眼槓紅中，
六八筒，叫卡窿，原來咁橋佢係呀係七筒。

掘尾籠，起勢攻，大四喜揸曬南北西東，
做牌，講天聰，頻頻滿餬我做呀做英雄，時勢做英雄。
(大英雄)",mojim.com
26,1976,半斤八兩,Full,寶麗多,梨渦淺笑,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"梨渦淺笑 可知否奧妙
寂寞心鎖暗動搖 魂消魄蕩 身飄渺
被困擾 怎得共渡藍橋

梨渦輕照 映出花月調
但望相看慰寂寥 時刻與共 享分秒
願折腰 今生效同林鳥

梨渦淺笑 似把君邀
綺夢輕泛浪潮 春宵猶未覺曉

梨渦雖俏 悲歡竟逆料
樂極癡戀變恨苗 情絲寸斷一朝了
夢已消 花依舊 玉人杳

梨渦淺笑 似把君邀
綺夢輕泛浪潮 春宵猶未覺曉

梨渦雖俏 悲歡竟逆料
樂極癡戀變恨苗 情絲寸斷一朝了
夢已消 花依舊 玉人杳
夢已消 花依舊 玉人杳",KKBOX.com
27,1976,半斤八兩,Full,寶麗多,大家跟住唱,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"大眾踩單車郊野上　良朋共享身心舒暢
互愛坦率相向　何必多嘢想
大眾野火會山領上　油油綠草天生天養
漫舞輕歌　可以大家跟住唱

**時時要玩番下　駛乜心都傷
日日要喜洋洋　無謂咁緊張
時時要輕鬆下　將清福享
日日笑口如常　就更加會命長
啦......

repeat *

就算有心想搵對像　何妨互相走入情場
共你一雙一對　攜手映下相
瀑布水花高飛百丈　潺潺自晌音韻悠揚
綠野青山遍　大家跟住唱

repeat **",mojim.com
28,1976,半斤八兩,Full,寶麗多,有酒今朝醉,,許冠傑,Stephen Foster,許冠傑;黎彼得,,,,,"童年就八歲 多歡趣 見到狗仔起勢追
爺爺話我最興嗲幾句 買包花生卜卜脆
跳吓飛機 街邊玩吓水
爺爺重教我講呢一句 有酒應該今朝醉
(爺爺重教我講呢一句 有酒應該今朝醉)

行年十八歲 懶風趣 有名高級徒置區
求其係派對仆倒去 見到鷗烏都請佢
咪個謙虛 幾大充有水
連隨問吓佢幾多歲 有酒應該今朝醉
(連隨問吓佢幾多歲 有酒應該今朝醉)

行年廿八歲 金翡翠 鬢影衣香拖靚女
同埋趙阿翠 雙雙對 結果卒之娶咗佢
以為歲晚煎堆 點知啫聲跟咗老許
無謂問過去 盞心碎 有酒應該今朝醉
(無謂問過去 盞心碎 有酒應該今朝醉)

行年六十八歲 腰骨都脆 阿嘅風濕中氣衰
人哋窒兩句 濕濕碎 我都嗗聲吞咗佢
嘆吓雙蒸 打牌抽吓水
回頭望過去 始終個句 有酒應該今朝醉
(回頭望過去 始終個句 有酒應該今朝醉)

LA................. 有酒應該今朝醉
LA..................有酒應該今朝醉
LA................. 有酒應該今朝醉
LA..................有酒應該今朝醉
LA..........",mojim.com
29,1976,半斤八兩,Full,寶麗多,知音夢裡尋,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"星星會明白我心 早知戀愛盡憐憫
誰料此際被情困 想伊人空抱憾
春色醉人夜已深 結他輕奏別離韻
盟誓毀碎淚難禁 嘆息知音夢裡尋

亂我心思傷透神 舊愛竟貪新
腸斷那堪風陣陣 悽怨倩誰問

街燈已殘月暗昏 惋惜空記熱情吻
徒自追索綠雲鬢 嘆息知音夢裡尋

亂我心思傷透神 舊愛竟貪新
腸斷那堪風陣陣 悽怨倩誰問

街燈已殘月暗昏 惋惜空記熱情吻
徒自追索綠雲鬢 嘆息知音夢裡尋
徒自追索綠雲鬢 嘆息知音夢裡尋",KKBOX.com
30,1976,半斤八兩,Full,寶麗多,鬼馬大家樂,香港交通歌;醫生頌;點解要擺酒;拍拖安全歌,許冠傑,溫拿樂隊;黃霑,許冠傑;黎彼得,,,,,"今朝塞到依家 把幾火想爆炸
踩油抽筋送波牙 恰眼瞓就梗聽瓜
香港交通最丟架 一講起都怕怕
今朝搵到依家 通街捐窿窿罅罅
終於吼到個Meter 一試又係彎架啦
香港車位夠羞家 想搵位一早要霸
無謂Chok住嘥鬼氣 交通差多多說話
有理冇理抄咗先啦 發告票 理得佢 最多公價

世界上有幾百樣人 祗發醫生一個
無論我點肚餓 無論我點折墮 終歸要醫好痛楚
世界上有幾百萬人 祗信醫生一個
成日替我檢驗 成日替我搞掂 一朝到晚維護我
你對佢 多多講嘢 根本當唱歌
佢照顧你 今生今世 你見佢多 收錢更多
世界上有幾百樣人 祗有醫生一個
能為我出力 能令我瓜直 始終永遠陪伴我

點解要擺酒 亂咁嘥錢冇理由
人人為飲一杯酒 累到夫妻一世憂
點解要擺酒 恨我整濕咗個頭
求人度水搵幫手 月尾薪金起勢扣
揸杯酒共渡患難 通檯走做阿茂
實係日後我與妳 做到獅子咁嘅口
點解要擺酒 望見張單報曬仇
難為自己一雙手 預算開支點會夠
難為自己一雙手 預算開支點會夠

天黑出街有排慌 拖友專興四圍蕩
一味疏肝 見賊佬梗生劏 Darling記住兩頭望 La La La
雖則公園有人看 看得幾看佢又暈浪
血影刀光 冇命仔真冤枉 拖友切勿四圍蕩 La La La
咪魯莽學人亂撞 遇著爛鬼盞剝清光
摑兩摑跟手綁幾綁 兇夾狼 隨時條命喪
乖女喜歡曬月光 家長擔心到傻戇
劫匪兇悍 嘆治安真不當 警方掃蕩靠謀望 La La La La La La",KKBOX.com
31,1976,半斤八兩,Full,寶麗多,夜半輕私語,,許冠傑,許冠傑,許冠傑;黎彼得,,,,,"千般相思似毛毛雨 抑鬱苦惱一於作首詩
寫遍艷麗言詞合你意 藉以表心癡
執起張紙卻恨無語 心聲傾訴實在唔容易
依稀往事言猶在我耳 望你解深意
胡言亂語更多錯字 總之兩心知
全無異志吐出心事 只盼望知曉意思
深宵追憶會亂神智 怎許相對有若籐纏樹
衷心暗示期求諒錯處 夜半輕私語",mojim.com
